revision_label,revision_date,revision_set,source_pdf,index_page_index,row_number,sheet_number,sheet_name,x_position
REVISION #2,01/30/2026,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,2,GI001.1,SHEET INDEX,"941.3,408.3"
REVISION #2,01/30/2026,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,6,GI104,5TH FLOOR CODE ANALYSIS,"941.3,477.3"
REVISION #2,01/30/2026,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,17,S140,STRUCTURAL DETAILS,"1791.5,684.5"
REVISION #2,01/30/2026,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,19,S142,STRUCTURAL DETAILS,"1791.5,718.5"
REVISION #2,01/30/2026,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,38,AD101,DEMOLITION - 1ST FLOOR PLAN,"1791.5,1064.5"
REVISION #2,01/30/2026,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,44,AD203,DEMOLITION - EXTERIOR ELEVATIONS,"1791.5,1168.5"
REVISION #2,01/30/2026,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,55,AD701,EXISTING CONDITIONS - PHOTOGRAPHS,"1791.5,1356.5"
REVISION #2,01/30/2026,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,56,AD702,EXISTING CONDITIONS - PHOTOGRAPHS,"1791.5,1374.5"
REVISION #2,01/30/2026,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,60,AE101,1ST FLOOR PLAN - SHELL,"1791.5,1443.5"
REVISION #2,01/30/2026,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,61,AE102,2ND FLOOR PLAN - SHELL,"1791.5,1461.5"
REVISION #2,01/30/2026,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,62,AE103,3RD FLOOR PLAN - SHELL,"1791.5,1477.5"
REVISION #2,01/30/2026,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,66,AE107,3RD FLOOR PLAN - BUILDOUT,"941.3,1547.4"
REVISION #2,01/30/2026,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,67,AE107.1,3RD FLOOR DIMENSION PLAN,"941.3,1564.4"
REVISION #2,01/30/2026,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,68,AE107.2,3RD FLOOR ENLARGED DIMENSION PLANS,"941.3,1581.4"
REVISION #2,01/30/2026,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,69,AE108,4TH FLOOR PLAN - BUILDOUT,"941.3,1599.4"
REVISION #2,01/30/2026,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,70,AE108.1,4TH FLOOR DIMENSION PLAN,"941.3,1616.4"
REVISION #2,01/30/2026,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,71,AE108.2,4TH FLOOR ENLARGED DIMENSION PLANS,"941.3,1633.4"
